"Player.Name","Salary","Position","Age","Team","GP","GS","AST","STL","BLK","PTS","FG","FGA","Total.Minutes"
"Jalen Smith",4670160,"C",22,"IND",68,31,1,0.3,0.9,9.4,3.6,7.5,1279
"Ziaire Williams",4591680,"SF",21,"MEM",37,4,0.9,0.4,0.2,5.7,2.3,5.3,561
"Ousmane Dieng",4569840,"PF",19,"OKC",39,1,1.2,0.4,0.2,4.9,1.9,4.6,569
"Jeff Green",4500000,"PF",36,"DEN",56,4,1.2,0.3,0.3,7.8,2.9,5.9,1091
"Donte DiVincenzo",4500000,"SG",26,"GSW",72,36,3.5,1.3,0.1,9.4,3.3,7.5,1894
"Devin Vassell",4437000,"SG",22,"SAS",38,32,3.6,1.1,0.4,18.5,6.9,15.7,1178
"Matisse Thybulle",4379526,"SF-SG",25,"PHI/POR",71,28,0.7,1.2,0.5,4.1,1.5,3.6,1200
"Jarred Vanderbilt",4374000,"PF",23,"LAL/UTA",78,65,2.4,1.1,0.3,7.9,3.2,5.8,1879
"James Bouknight",4362240,"SG",22,"CHO",34,0,1.2,0.4,0.1,5.6,2,5.7,515
"Brandon Clarke",4343919,"PF",26,"MEM",56,8,1.3,0.6,0.7,10,4.1,6.2,1090
"Jalen Williams",4341480,"SG",21,"OKC",75,62,3.3,1.4,0.5,14.1,5.5,10.6,2276
"Grant Williams",4306281,"PF",24,"BOS",79,23,1.7,0.5,0.4,8.1,2.7,6,2045
"Darius Bazley",4264628,"C",22,"OKC/PHO",43,1,0.9,0.5,0.8,5.2,1.9,4.3,616
"Tyrese Haliburton",4215120,"PG",22,"IND",56,56,10.4,1.6,0.4,20.7,7.4,15,1883
"Nassir Little",4171548,"SF",22,"POR",54,4,0.9,0.4,0.4,6.6,2.5,5.6,976
"Jalen Duren",4124280,"C",19,"DET",67,31,1.1,0.7,0.9,9.1,3.9,5.9,1670
"Gorgui Dieng",4105236,"C",33,"SAS",31,1,1.7,0.1,0.5,3.9,1.5,3.8,358
"Justise Winslow",4097561,"PF",26,"POR",29,11,3.4,1,0.4,6.8,2.8,6.8,776
"Dylan Windler",4037277,"SF",26,"CLE",3,0,0.3,0.3,0,1.7,0.7,1,10
"Stanley Johnson",4022164,"SF",26,"SAS",30,0,2.2,0.5,0.2,5.8,2.2,4.1,469
"George Hill",4e+06,"PG-SG",36,"MIL/IND",46,1,2.4,0.6,0.1,5,1.7,3.6,834
"Terence Davis",4e+06,"SG",25,"SAC",64,5,1,0.7,0.2,6.7,2.4,5.7,841
