PLAYER,2024 SALARY,2024 SIGNING,G,GS,MIN,PTS,FGM,FGA,FG%,2:00 PM,2PA,2P%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Moriah Jefferson,"$141,500 ",UFA,39,36,24.9,10.5,4.2,9.8,43.30%,3.3,7,46.50%,1,2.8,35.20%,1.1,1.3,82.00%,0.2,1.7,2,3.6,1.6,1.1,0.2,2.2
Courtney Williams,"$175,000 ",UFA,40,40,30.1,10.4,4.4,10.1,43.70%,3.2,7.4,43.40%,1.2,2.7,44.30%,0.4,0.6,60.00%,1,5.1,6,6.3,2.5,1,0.3,1.6
Shakira Austin,"$80,943 ",Rookie,19,17,23.2,10,4.1,8.1,50.00%,4.1,8.1,50.00%,0,0,--,1.9,3.1,61.00%,1.5,5.5,7,0.9,1.8,0.8,0.9,2.3
Erica Wheeler,"$202,154 ",UFA,40,40,26.8,9.9,3.7,9.2,39.80%,2.9,6.8,43.00%,0.8,2.4,30.90%,1.8,2.1,87.80%,0.4,2.6,3,5,2.1,1.1,0.1,2.4
Elizabeth Williams,"$135,000 ",UFA,40,40,29.7,9.8,4.2,8.1,51.40%,4.2,8.1,51.40%,0,0,--,1.5,2.3,63.00%,2.3,3.6,5.8,2.5,1.4,1.3,1.5,2.5
Sami Whitcomb,"$140,000 ",UFA,40,19,24.5,9.7,3.2,8,40.00%,1,2.2,43.80%,2.2,5.8,38.50%,1.1,1.3,83.00%,0.5,2.4,2.9,2.9,2,0.9,0.4,1.9
Alanna Smith,"$150,000 ",UFA,38,35,26.5,9.2,3.5,7,49.80%,2.7,4.3,62.60%,0.8,2.7,29.40%,1.4,2.1,67.90%,1.8,4.7,6.6,1.8,1.5,1.3,1.3,3.1
Dana Evans,"$78,469 ",Rookie,39,1,21.5,9,3,8.3,36.00%,1.9,4.6,41.30%,1.1,3.7,29.40%,1.9,2.3,85.40%,0.2,1,1.2,3,1.6,0.7,0.1,1.2
Dearica Hamby,"$169,000 ",--,40,19,24.7,8.9,3.3,7.7,43.10%,3.1,6.6,46.40%,0.2,1,22.00%,2.1,3.2,64.80%,1.3,4.6,5.9,1.8,1.5,0.9,0.3,2.2
Michaela Onyenwere,"$85,690 ",Rookie,40,27,23.8,8.9,3.3,8.1,40.40%,2.4,5.3,45.00%,0.9,2.8,31.50%,1.5,2,75.90%,1.2,2.5,3.7,1.3,2,0.8,0.5,2.9
Natisha Hiedeman,"$120,000 ",RFA,40,40,26.7,8.5,3.1,7.9,39.20%,1.6,3.8,41.80%,1.5,4,36.60%,0.9,1.2,73.90%,0.2,1.9,2.1,2.7,1.4,0.9,0.1,2.2
Chiney Ogwumike,,UFA,10,4,21.2,8.4,3.4,7.9,43.00%,3.3,6.6,50.00%,0.1,1.3,7.70%,1.5,2.1,71.40%,1.4,2.9,4.3,1.3,1.2,1.3,0.3,3.7
Gabby Williams,,ROS,10,8,28.5,8.4,3.4,9.4,36.20%,2.9,7.1,40.80%,0.5,2.3,21.70%,1.1,1.3,84.60%,1.4,2.2,3.6,3.8,2.2,1.5,0.4,1.9
DiJonai Carrington,"$78,469 ",Rookie,32,0,17.2,8.3,2.9,7,41.70%,2.2,5,43.50%,0.7,1.9,37.10%,1.8,2.3,75.70%,0.8,2,2.9,1.3,1.1,0.6,0.1,2.1
Crystal Dangerfield,"$80,000 ",Reserved,35,32,27.8,8.2,3.4,8,42.50%,2.6,5.3,49.20%,0.8,2.7,29.00%,0.6,0.8,81.50%,0.8,2.1,2.9,3.1,1.2,0.9,0.2,1.3
Tianna Hawkins,,UFA,40,21,23.1,8.2,3.3,6.6,49.10%,2.5,4.5,56.70%,0.7,2.2,33.30%,1,1.3,75.00%,1.5,3.5,5,1.4,1.2,0.8,0.4,2.5
Sug Sutton,"$64,154 ",Reserved,40,12,26.3,8.2,3.2,8.2,38.50%,2.4,6,40.30%,0.8,2.2,33.70%,1.2,1.4,80.70%,0.4,2.2,2.6,4.8,2.5,0.7,0.1,1.6
Jessica Shepard,"$123,600 ",--,21,17,26.9,8.1,3.1,6,51.60%,3.1,5.9,52.40%,0,0.1,0.00%,2,2.5,77.40%,2.1,5,7.1,3.2,1.4,0.6,0.1,2
Megan Gustafson,"$94,000 ",UFA,34,4,15.1,7.9,3,5.7,52.60%,2.6,4.4,57.60%,0.4,1.3,34.90%,1.5,1.8,80.60%,1.4,2.5,3.9,0.7,1.1,0.4,0.4,1.9
Aari McDonald,"$89,302 ",Rookie,24,9,23.5,7.9,2.8,6.8,40.20%,1.7,3.6,47.70%,1,3.3,32.10%,1.3,1.8,76.20%,0.3,1.8,2,3,1.6,0.6,0,1.6
Kalani Brown,"$125,000 ",UFA,32,5,16.4,7.8,2.8,4.5,62.90%,2.8,4.4,63.40%,0,0,0.00%,2.2,2.7,80.20%,1.7,2.8,4.5,1,1.3,0.2,0.7,2
Karlie Samuelson,"$115,000 ",UFA,34,23,26.1,7.7,2.4,5.2,46.30%,1,1.8,53.20%,1.4,3.4,42.60%,1.4,1.5,94.10%,0.3,2.6,3,2,0.9,0.6,0.1,2.4
Tiffany Mitchell,"$139,050 ",UFA,33,21,23.1,7.3,2.6,6.5,40.40%,2.2,5.1,43.50%,0.4,1.4,28.90%,1.7,2,83.30%,0.5,1.8,2.3,2.3,2.1,0.5,0.1,2.7
Marine Johannes,,Reserved,35,5,18.9,7.1,2.5,6.1,41.40%,0.9,1.8,52.40%,1.6,4.3,36.80%,0.4,0.6,75.00%,0.2,1.2,1.4,1.7,1.3,0.7,0.1,1.6
Rebekah Gardner,,Reserved,3,0,19.8,7,2,4.7,42.90%,1,3,33.30%,1,1.7,60.00%,2,2,100.00%,0.3,3.3,3.7,2.3,1.7,2,0.3,2.7
Jordan Horston,"$69,663 ",--,36,17,22.4,6.9,2.8,7.6,36.70%,2.5,6.5,38.90%,0.3,1.1,24.40%,1,1.4,71.20%,1.3,3.8,5.1,1.6,2,1.2,0.6,2.2
Nia Coffey,"$150,000 ",UFA,31,31,21.9,6.9,2.7,6.2,43.20%,1.6,3.5,45.50%,1.1,2.6,40.20%,0.5,0.8,62.50%,0.5,4.4,4.8,1.5,1.4,0.5,1.2,2.2
Alysha Clark,"$110,000 ",UFA,39,1,22.5,6.7,2.3,5.3,44.40%,1,1.9,54.80%,1.3,3.4,38.60%,0.7,0.8,81.80%,0.5,2.9,3.4,1.1,0.7,0.6,0.2,2.2
Kristy Wallace,"$71,124 ",Rookie,37,9,19.7,6.6,2.5,6.3,40.10%,1.5,4,38.10%,1,2.3,43.50%,0.6,0.8,75.00%,0.6,1.6,2.2,1.9,1.3,0.6,0.2,1.7
Ivana Dojkic,"$64,154 ",UFA,23,15,20,6.5,2.1,5.2,40.30%,1.1,2.8,39.10%,1,2.4,41.80%,1.3,1.9,72.10%,0.2,1.6,1.7,2.8,1.5,0.8,0.2,1.9
Rebecca Allen,"$160,000 ",UFA,40,27,21.5,6.4,2.5,6,40.80%,1.5,3.1,46.40%,1,2.9,34.80%,0.5,0.7,70.40%,0.7,2.1,2.8,0.9,0.9,0.9,1.3,1.9
